date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,322.99,331.72,322.03,330.91,330.91,2084793,2084793,7.92,2.45209,328.22,"May 08, 23",0.0245209
2023-05-05,323.61,324.15,319.4401,322.76,322.76001,3986232,3768321,-0.85,-0.26266,322.2,"May 05, 23",-0.0026266
2023-05-04,319.01,323.61,317.95,320.78,320.779999,3879657,3879700,1.77,0.55484,320.88,"May 04, 23",0.0055484
2023-05-03,317.55,324.62,315.85,319.3,319.299988,5064057,5064100,1.75,0.55109,321.04,"May 03, 23",0.0055109
2023-05-02,325.0,326.07,315.62,317.55,317.549988,4315212,4318600,-7.45,-2.29,318.93,"May 02, 23",-0.0229
2023-05-01,329.435,331.23,318.09,324.12,324.119995,5338904,5341500,-5.315,-1.61,323.32,"May 01, 23",-0.0161
2023-04-28,325.24,330.8077,324.0,329.93,329.929993,4228374,4221900,4.69,1.44,328.74,"April 28, 23",0.0144
2023-04-27,324.3,327.45,317.44,325.85,325.850006,5618768,5618800,1.55,0.47795,323.86,"April 27, 23",0.0047795
2023-04-26,321.36,325.9,320.47,321.15,321.149994,4623238,4623200,-0.21,-0.06534727,322.62,"April 26, 23",-0.0006534727
2023-04-25,328.5,328.655,321.1,322.55,322.549988,5426642,5426600,-5.95,-1.81,323.15,"April 25, 23",-0.0181
2023-04-24,330.2,334.66,326.75,329.02,329.019989,5584427,5586600,-1.18,-0.35736,330.15,"April 24, 23",-0.0035736
2023-04-21,323.0,328.29,319.5,327.98,327.980011,6347320,6342600,4.98,1.54,325.08,"April 21, 23",0.0154
2023-04-20,320.39,331.4298,318.33,325.35,325.350006,9947800,9947800,4.96,1.55,326.39,"April 20, 23",0.0155
2023-04-19,324.21,325.75,316.1,323.12,323.119995,22128267,22128300,-1.09,-0.3362,321.83,"April 19, 23",-0.003362
2023-04-18,335.0,337.19,330.5,333.7,333.700012,17935276,17944500,-1.3,-0.38806,328.59,"April 18, 23",-0.0038806
2023-04-17,338.0,338.39,327.5,332.72,332.720001,6134507,6136000,-5.28,-1.56,331.89,"April 17, 23",-0.0156
2023-04-14,342.94,344.853,336.41,338.63,338.630005,5350508,5345600,-4.31,-1.26,339.41,"April 14, 23",-0.0126
2023-04-13,339.99,346.43,338.75,346.19,346.190002,7406437,7406400,6.2,1.82,343.82,"April 13, 23",0.0182
2023-04-12,340.81,342.8,330.04,331.03,331.029999,3965440,3965400,-9.78,-2.87,334.75,"April 12, 23",-0.0287
2023-04-11,343.45,347.14,337.635,338.21,338.209991,4044778,4044800,-5.24,-1.53,340.94,"April 11, 23",-0.0153
2023-04-10,335.27,339.88,333.36,338.99,338.98999,2657898,2657900,3.72,1.11,337.37,"April 10, 23",0.0111
2023-04-06,339.34,340.48,332.63,339.33,339.329987,4660542,4660500,-0.01,-0.0029469,337.48,"April 06, 23",-2.9469e-05
2023-04-05,345.3,345.43,336.2526,342.35,342.350006,4205545,4205500,-2.95,-0.85433,340.48,"April 05, 23",-0.0085433
2023-04-04,348.49,349.8,343.95,346.75,346.75,3298072,3298100,-1.74,-0.4993,346.44,"April 04, 23",-0.004993
2023-04-03,341.83,348.58,340.4001,348.28,348.279999,4413650,4413700,6.45,1.89,345.39,"April 03, 23",0.0189
2023-03-31,340.05,345.84,337.2001,345.48,345.480011,5610161,5604300,5.43,1.6,342.53,"March 31, 23",0.016
2023-03-30,340.2699,343.29,335.3,338.43,338.429993,7131468,7131500,-1.8399,-0.54072,338.86,"March 30, 23",-0.0054072
2023-03-29,326.29,332.85,325.73,332.03,332.029999,6287336,6287300,5.74,1.76,329.87,"March 29, 23",0.0176
2023-03-28,326.06,333.32,321.28,323.52,323.519989,6489388,6489400,-2.54,-0.779,326.42,"March 28, 23",-0.00779
2023-03-27,327.55,336.44,324.41,327.66,327.660004,8623263,8625800,0.11,0.03358266,330.39,"March 27, 23",0.0003358266
2023-03-24,320.63,331.83,320.63,328.39,328.390015,13004085,12991700,7.76,2.42,327.63,"March 24, 23",0.0242
2023-03-23,304.68,322.78,304.14,320.37,320.369995,15653347,15653300,15.69,5.15,317.52,"March 23, 23",0.0515
2023-03-22,306.31,306.45,293.54,293.9,293.899994,5808035,5808000,-12.41,-4.05,300.19,"March 22, 23",-0.0405
2023-03-21,306.32,307.92,300.43,305.79,305.790009,4886279,4886300,-0.53,-0.17302,304.66,"March 21, 23",-0.0017302
2023-03-20,299.79,307.5,296.0,305.13,305.130005,5113430,5113400,5.34,1.78,303.38,"March 20, 23",0.0178
2023-03-17,310.06,310.76,300.0,303.5,303.5,6918777,6912100,-6.56,-2.12,304.16,"March 17, 23",-0.0212
2023-03-16,304.75,316.6,301.71,310.06,310.059998,7912371,7903700,5.31,1.74,310.81,"March 16, 23",0.0174
2023-03-15,292.51,306.31,292.28,303.79,303.790009,9215340,9215300,11.28,3.86,301.04,"March 15, 23",0.0386
2023-03-14,295.97,297.45,290.31,294.94,294.940002,5956692,5956700,-1.03,-0.34801,294.0,"March 14, 23",-0.0034801
2023-03-13,287.34,299.24,285.3301,293.51,293.51001,6292385,6292400,6.17,2.15,294.1,"March 13, 23",0.0215
2023-03-10,297.905,298.79,289.0,292.76,292.76001,5759315,5753800,-5.145,-1.73,293.59,"March 10, 23",-0.0173
2023-03-09,312.08,312.51,294.88,297.78,297.779999,7443350,7443400,-14.3,-4.58,301.43,"March 09, 23",-0.0458
2023-03-08,309.29,311.83,305.75,311.79,311.790009,3479474,3479500,2.5,0.8083,309.47,"March 08, 23",0.008083
2023-03-07,312.675,314.3,306.6226,308.47,308.470001,4553082,4553100,-4.205,-1.34,310.1,"March 07, 23",-0.0134
2023-03-06,317.0,323.3,311.8412,312.03,312.029999,5660743,5660700,-4.97,-1.57,317.49,"March 06, 23",-0.0157
2023-03-03,315.45,317.49,310.82,315.18,315.179993,5953319,5948700,-0.27,-0.08559201,315.21,"March 03, 23",-0.0008559201
2023-03-02,310.96,315.57,310.38,311.88,311.880005,4921053,4911000,0.92,0.29586,312.53,"March 02, 23",0.0029586
2023-03-01,321.55,326.6,312.36,313.48,313.480011,4911311,4911300,-8.07,-2.51,316.97,"March 01, 23",-0.0251
2023-02-28,323.7,327.62,321.17,322.13,322.130005,3675300,3676100,-1.57,-0.48502,323.77,"February 28, 23",-0.0048502
2023-02-27,323.87,330.0,322.121,323.03,323.029999,6138380,6142600,-0.84,-0.25936,325.38,"February 27, 23",-0.0025936
